Conferencia Leste,Conferencia Oeste
Atlanta Hawks,Oklahoma City Thunder
Boston Celtics,Houston Rockets
Brooklyn Nets,Memphis Grizzlies
Charlotte Hornets,Denver Nuggets
Chicago Bulls,Los Angeles Lakers
Cleveland Cavaliers,Los Angeles Clippers
Detroit Pistons,Dallas Mavericks
Indiana Pacers,Minnesota Timberwolves
Miami Heat,Sacramento Kings
Milwaukee Bucks,Phoenix Suns
New York Knicks,Golden State Warriors
Orlando Magic,San Antonio Spurs
Philadelphia ers,Portland Trail Blazers
Toronto Raptors,New Orleans Pelicans
Washington Wizards,Utah Jazz
